,date,cashPrice,code
0,2019-08-09,1820,UR
1,2019-08-12,1770,UR
2,2019-08-13,1770,UR
3,2019-08-14,1760,UR
4,2019-08-15,1780,UR
5,2019-08-16,1780,UR
6,2019-08-19,1780,UR
7,2019-08-20,1780,UR
8,2019-08-21,1810,UR
9,2019-08-22,1810,UR
10,2019-08-23,1800,UR
11,2019-08-26,1800,UR
12,2019-08-27,1800,UR
13,2019-08-28,1780,UR
14,2019-08-29,1780,UR
15,2019-08-30,1790,UR
16,2019-09-02,1910,UR
17,2019-09-03,1910,UR
18,2019-09-04,1920,UR
19,2019-09-05,1920,UR
20,2019-09-06,1820,UR
21,2019-09-09,1820,UR
22,2019-09-10,1820,UR
23,2019-09-11,1820,UR
24,2019-09-12,1820,UR
25,2019-09-16,1820,UR
26,2019-09-17,1820,UR
27,2019-09-18,1790,UR
28,2019-09-19,1790,UR
29,2019-09-20,1780,UR
30,2019-09-23,1780,UR
31,2019-09-24,1780,UR
32,2019-09-25,1790,UR
33,2019-09-26,1790,UR
34,2019-09-27,1790,UR
35,2019-09-30,1790,UR
36,2019-10-08,1740,UR
37,2019-10-09,1740,UR
38,2019-10-10,1750,UR
39,2019-10-11,1750,UR
40,2019-10-14,1760,UR
41,2019-10-15,1760,UR
42,2019-10-16,1760,UR
43,2019-10-17,1760,UR
44,2019-10-18,1730,UR
45,2019-10-21,1680,UR
46,2019-10-22,1680,UR
47,2019-10-23,1670,UR
48,2019-10-24,1670,UR
49,2019-10-25,1670,UR
50,2019-10-28,1680,UR
51,2019-10-29,1680,UR
52,2019-10-30,1680,UR
53,2019-10-31,1680,UR
54,2019-11-01,1680,UR
55,2019-11-04,1650,UR
56,2019-11-05,1650,UR
57,2019-11-06,1650,UR
58,2019-11-07,1650,UR
59,2019-11-08,1650,UR
60,2019-11-11,1650,UR
61,2019-11-12,1650,UR
62,2019-11-13,1650,UR
63,2019-11-14,1650,UR
64,2019-11-15,1650,UR
65,2019-11-18,1660,UR
66,2019-11-19,1660,UR
67,2019-11-20,1660,UR
68,2019-11-21,1660,UR
69,2019-11-22,1660,UR
70,2019-11-25,1670,UR
