,date,cashPrice,code
0,2018-11-14,6613,V
1,2018-11-16,6643,V
2,2018-11-20,6643,V
3,2018-11-23,6650,V
4,2018-11-26,6650,V
5,2018-11-27,6650,V
6,2018-11-29,6663,V
7,2018-11-30,6693,V
8,2018-12-03,6786,V
9,2018-12-04,6824,V
10,2018-12-07,6856,V
11,2018-12-10,6856,V
12,2018-12-13,6856,V
13,2018-12-17,6856,V
14,2018-12-19,6859,V
15,2018-12-25,6859,V
16,2018-12-26,6859,V
17,2018-12-27,6859,V
18,2018-12-28,6859,V
19,2019-01-03,6791,V
20,2019-01-04,6791,V
21,2019-01-08,6771,V
22,2019-01-09,6771,V
23,2019-01-10,6730,V
24,2019-01-14,6709,V
25,2019-01-16,6687,V
26,2019-01-17,6687,V
27,2019-01-18,6687,V
28,2019-01-21,6687,V
29,2019-01-28,6709,V
30,2019-01-29,6709,V
31,2019-01-30,6709,V
32,2019-01-31,6709,V
33,2019-02-01,6709,V
34,2019-02-11,6709,V
35,2019-02-12,6709,V
36,2019-02-13,6709,V
37,2019-02-15,6633,V
38,2019-02-19,6627,V
39,2019-02-20,6627,V
40,2019-02-21,6627,V
41,2019-02-22,6630,V
42,2019-02-25,6624,V
43,2019-02-26,6624,V
44,2019-02-27,6614,V
45,2019-02-28,6599,V
46,2019-03-01,6599,V
47,2019-03-04,6599,V
48,2019-03-05,6609,V
49,2019-03-06,6609,V
50,2019-03-07,6629,V
51,2019-03-08,6633,V
52,2019-03-11,6610,V
53,2019-03-12,6616,V
54,2019-03-14,6614,V
55,2019-03-15,6610,V
56,2019-03-19,6501,V
57,2019-03-20,6501,V
58,2019-03-21,6501,V
59,2019-03-22,6514,V
60,2019-03-27,6639,V
61,2019-03-28,6639,V
62,2019-03-29,6639,V
63,2019-04-01,6650,V
64,2019-04-03,6723,V
65,2019-04-09,6936,V
66,2019-04-10,6948,V
67,2019-04-15,6943,V
68,2019-04-16,6979,V
69,2019-04-17,6997,V
70,2019-04-18,6970,V
71,2019-04-19,6936,V
72,2019-04-23,6967,V
73,2019-04-24,7036,V
74,2019-04-25,7036,V
75,2019-04-26,7036,V
76,2019-04-29,7036,V
77,2019-04-30,7053,V
78,2019-05-06,7224,V
79,2019-05-07,7208,V
80,2019-05-09,7196,V
81,2019-05-13,7120,V
82,2019-05-14,7120,V
83,2019-05-15,7120,V
84,2019-05-16,7136,V
85,2019-05-17,7109,V
86,2019-05-20,7109,V
87,2019-05-21,7109,V
88,2019-05-22,7100,V
89,2019-05-23,7091,V
90,2019-05-24,7034,V
91,2019-05-28,7004,V
92,2019-05-29,7037,V
93,2019-05-31,6976,V
94,2019-06-03,6998,V
95,2019-06-04,6908,V
96,2019-06-10,6850,V
97,2019-06-11,6846,V
98,2019-06-12,6894,V
99,2019-06-13,6866,V
100,2019-06-14,6869,V
101,2019-06-17,6869,V
102,2019-06-18,6866,V
103,2019-06-19,6890,V
104,2019-06-20,6901,V
105,2019-06-21,6914,V
106,2019-06-24,6935,V
107,2019-06-25,6940,V
108,2019-06-26,6900,V
109,2019-06-27,6903,V
110,2019-06-28,6899,V
111,2019-07-01,6910,V
112,2019-07-02,6910,V
113,2019-07-03,6991,V
114,2019-07-04,7000,V
115,2019-07-05,7000,V
116,2019-07-08,6997,V
117,2019-07-09,6997,V
118,2019-07-10,6980,V
119,2019-07-11,6980,V
120,2019-07-12,6967,V
121,2019-07-15,6967,V
122,2019-07-16,6967,V
123,2019-07-17,6967,V
124,2019-07-18,6967,V
125,2019-07-19,6951,V
126,2019-07-22,6966,V
127,2019-07-23,6974,V
128,2019-07-24,6974,V
129,2019-07-25,6961,V
130,2019-07-26,6947,V
131,2019-07-29,6947,V
132,2019-07-30,6947,V
133,2019-07-31,6939,V
134,2019-08-01,6934,V
135,2019-08-02,6916,V
136,2019-08-05,6890,V
137,2019-08-06,6870,V
138,2019-08-07,6870,V
139,2019-08-08,6870,V
140,2019-08-09,6899,V
141,2019-08-12,6899,V
142,2019-08-13,6904,V
143,2019-08-14,6907,V
144,2019-08-15,6909,V
145,2019-08-16,6909,V
146,2019-08-19,6917,V
147,2019-08-20,6919,V
148,2019-08-21,6916,V
149,2019-08-22,6913,V
150,2019-08-23,6868,V
151,2019-08-26,6820,V
152,2019-08-27,6820,V
153,2019-08-28,6843,V
154,2019-08-29,6834,V
155,2019-08-30,6834,V
156,2019-09-02,6834,V
157,2019-09-03,6836,V
158,2019-09-04,6836,V
159,2019-09-05,6836,V
160,2019-09-06,6836,V
161,2019-09-09,6836,V
162,2019-09-10,6839,V
163,2019-09-11,6841,V
164,2019-09-12,6841,V
165,2019-09-16,6926,V
166,2019-09-17,6941,V
167,2019-09-18,6937,V
168,2019-09-19,6968,V
169,2019-09-20,6937,V
170,2019-09-23,6937,V
171,2019-09-24,6937,V
172,2019-09-25,6934,V
173,2019-09-26,6934,V
174,2019-09-27,6931,V
175,2019-09-30,6929,V
176,2019-10-08,6929,V
177,2019-10-09,6929,V
178,2019-10-10,6926,V
179,2019-10-11,6916,V
180,2019-10-14,6916,V
181,2019-10-15,6913,V
182,2019-10-16,6909,V
183,2019-10-17,6889,V
184,2019-10-18,6823,V
185,2019-10-21,6733,V
186,2019-10-22,6733,V
187,2019-10-23,6625,V
188,2019-10-24,6610,V
189,2019-10-25,6610,V
190,2019-10-28,6793,V
191,2019-10-29,6811,V
192,2019-10-30,6811,V
193,2019-10-31,6759,V
194,2019-11-01,6759,V
195,2019-11-04,6635,V
196,2019-11-05,6640,V
197,2019-11-06,6640,V
198,2019-11-07,6640,V
199,2019-11-08,6768,V
200,2019-11-11,6768,V
201,2019-11-12,6730,V
202,2019-11-13,6750,V
203,2019-11-14,6810,V
204,2019-11-15,6831,V
205,2019-11-18,6841,V
206,2019-11-19,6846,V
207,2019-11-20,6760,V
208,2019-11-21,6760,V
209,2019-11-22,6765,V
210,2019-11-25,6840,V
211,2019-11-26,6915,V
212,2019-11-27,7031,V
213,2019-11-28,7099,V
214,2019-11-29,7119,V
215,2019-12-02,7190,V
216,2019-12-03,7190,V
217,2019-12-04,7186,V
218,2019-12-05,7169,V
219,2019-12-06,7164,V
220,2019-12-09,7164,V
221,2019-12-10,7169,V
222,2019-12-11,7160,V
223,2019-12-12,7157,V
224,2019-12-13,7157,V
225,2019-12-16,7157,V
226,2019-12-17,7157,V
227,2019-12-18,7157,V
228,2019-12-19,7150,V
229,2019-12-20,7155,V
230,2019-12-23,7120,V
231,2019-12-24,7133,V
232,2019-12-25,7091,V
233,2019-12-26,7057,V
234,2019-12-27,7053,V
235,2019-12-30,7039,V
236,2019-12-31,7031,V
237,2020-01-02,7019,V
238,2020-01-03,6900,V
239,2020-01-06,6875,V
240,2020-01-07,6875,V
241,2020-01-08,6941,V
242,2020-01-09,6914,V
243,2020-01-10,6914,V
244,2020-01-14,6780,V
245,2020-01-15,6765,V
246,2020-01-16,6765,V
247,2020-01-17,6833,V
248,2020-01-20,6833,V
249,2020-01-21,6833,V
250,2020-01-22,6833,V
251,2020-01-23,6833,V
252,2020-02-03,6833,V
253,2020-02-04,6833,V
254,2020-02-05,6780,V
255,2020-02-06,6780,V
256,2020-02-07,6780,V
257,2020-02-10,6780,V
258,2020-02-11,6780,V
259,2020-02-12,6780,V
260,2020-02-13,6450,V
261,2020-02-14,6450,V
262,2020-02-17,6450,V
263,2020-02-18,6621,V
264,2020-02-19,6614,V
265,2020-02-20,6500,V
266,2020-02-21,6500,V
267,2020-02-24,6500,V
268,2020-02-25,6500,V
269,2020-02-26,6500,V
270,2020-02-27,6476,V
271,2020-02-28,6476,V
272,2020-03-02,6476,V
273,2020-03-03,6457,V
274,2020-03-04,6285,V
275,2020-03-05,6275,V
276,2020-03-06,6275,V
277,2020-03-09,6125,V
278,2020-03-10,6303,V
279,2020-03-11,6310,V
280,2020-03-12,6310,V
281,2020-03-13,6310,V
282,2020-03-16,6150,V
283,2020-03-17,6150,V
284,2020-03-18,6150,V
285,2020-03-19,6150,V
286,2020-03-20,6150,V
287,2020-03-23,6079,V
288,2020-03-24,5926,V
289,2020-03-25,5847,V
290,2020-03-26,5700,V
291,2020-03-27,5500,V
292,2020-03-30,5250,V
293,2020-03-31,5250,V
294,2020-04-01,5150,V
295,2020-04-02,5320,V
296,2020-04-03,5363,V
297,2020-04-07,5575,V
298,2020-04-08,5560,V
299,2020-04-09,5603,V
300,2020-04-10,5579,V
301,2020-04-13,5584,V
302,2020-04-14,5581,V
303,2020-04-15,5523,V
304,2020-04-16,5523,V
305,2020-04-17,5523,V
306,2020-04-20,5450,V
307,2020-04-21,5400,V
308,2020-04-22,5400,V
309,2020-04-23,5537,V
310,2020-04-24,5540,V
311,2020-04-27,5540,V
312,2020-04-28,5540,V
313,2020-04-29,5544,V
314,2020-04-30,5561,V
315,2020-05-06,5673,V
316,2020-05-07,5836,V
317,2020-05-08,5836,V
318,2020-05-11,5901,V
319,2020-05-12,5833,V
320,2020-05-13,5700,V
321,2020-05-14,5700,V
322,2020-05-15,5700,V
323,2020-05-18,5850,V
324,2020-05-19,6071,V
325,2020-05-20,6074,V
326,2020-05-21,6116,V
327,2020-05-22,6130,V
328,2020-05-25,6244,V
329,2020-05-26,6267,V
330,2020-05-27,6264,V
331,2020-05-28,6243,V
332,2020-05-29,6247,V
333,2020-06-01,6300,V
334,2020-06-02,6414,V
335,2020-06-03,6507,V
336,2020-06-04,6437,V
337,2020-06-05,6441,V
338,2020-06-08,6441,V
339,2020-06-09,6441,V
340,2020-06-10,6543,V
341,2020-06-11,6524,V
342,2020-06-12,6473,V
343,2020-06-15,6504,V
344,2020-06-16,6504,V
345,2020-06-17,6504,V
346,2020-06-18,6504,V
347,2020-06-19,6503,V
348,2020-06-22,6450,V
349,2020-06-23,6450,V
350,2020-06-24,6450,V
351,2020-06-29,6290,V
352,2020-06-30,6290,V
353,2020-07-01,6280,V
354,2020-07-02,6430,V
355,2020-07-03,6503,V
356,2020-07-06,6529,V
357,2020-07-07,6614,V
358,2020-07-08,6703,V
359,2020-07-09,6694,V
360,2020-07-10,6560,V
361,2020-07-13,6690,V
362,2020-07-14,6675,V
363,2020-07-15,6675,V
364,2020-07-16,6657,V
365,2020-07-17,6612,V
366,2020-07-20,6681,V
367,2020-07-21,6679,V
368,2020-07-22,6702,V
369,2020-07-23,6652,V
370,2020-07-24,6546,V
371,2020-07-27,6529,V
372,2020-07-28,6500,V
373,2020-07-29,6510,V
374,2020-07-30,6635,V
375,2020-07-31,6625,V
376,2020-08-03,6670,V
377,2020-08-04,6691,V
378,2020-08-05,6734,V
379,2020-08-06,6683,V
380,2020-08-07,6641,V
381,2020-08-10,6570,V
382,2020-08-11,6570,V
383,2020-08-12,6513,V
384,2020-08-13,6518,V
385,2020-08-14,6500,V
386,2020-08-17,6543,V
387,2020-08-18,6628,V
388,2020-08-19,6680,V
389,2020-08-20,6680,V
390,2020-08-21,6680,V
391,2020-08-24,6733,V
392,2020-08-25,6680,V
393,2020-08-26,6701,V
394,2020-08-27,6739,V
395,2020-08-28,6732,V
396,2020-08-31,6736,V
397,2020-09-01,6736,V
398,2020-09-02,6770,V
399,2020-09-03,6715,V
400,2020-09-04,6683,V
401,2020-09-07,6669,V
402,2020-09-08,6644,V
403,2020-09-09,6677,V
404,2020-09-10,6755,V
