,date,cashPrice,code
0,2018-11-13,2676.0,J
1,2018-11-14,2676.0,J
2,2018-11-16,2676.0,J
3,2018-11-20,2676.0,J
4,2018-11-23,2651.0,J
5,2018-11-26,2651.0,J
6,2018-11-27,2601.0,J
7,2018-11-29,2601.0,J
8,2018-11-30,2501.0,J
9,2018-12-03,2401.0,J
10,2018-12-04,2401.0,J
11,2018-12-07,2401.0,J
12,2018-12-10,2401.0,J
13,2018-12-13,2401.0,J
14,2018-12-17,2401.0,J
15,2018-12-19,2401.0,J
16,2018-12-25,2401.0,J
17,2018-12-26,2301.0,J
18,2018-12-27,2301.0,J
19,2018-12-28,2301.0,J
20,2019-01-03,2301.0,J
21,2019-01-04,2301.0,J
22,2019-01-08,2151.0,J
23,2019-01-09,2076.0,J
24,2019-01-10,2076.0,J
25,2019-01-11,2051.0,J
26,2019-01-14,2051.0,J
27,2019-01-15,2051.0,J
28,2019-01-16,2051.0,J
29,2019-01-17,2051.0,J
30,2019-01-18,2051.0,J
31,2019-01-21,2051.0,J
32,2019-01-28,2051.0,J
33,2019-01-29,2051.0,J
34,2019-01-30,2101.0,J
35,2019-01-31,2101.0,J
36,2019-02-01,2101.0,J
37,2019-02-11,2101.0,J
38,2019-02-12,2101.0,J
39,2019-02-13,2101.0,J
40,2019-02-14,2151.0,J
41,2019-02-15,2151.0,J
42,2019-02-19,2151.0,J
43,2019-02-20,2176.0,J
44,2019-02-21,2176.0,J
45,2019-02-22,2176.0,J
46,2019-02-25,2176.0,J
47,2019-02-26,2176.0,J
48,2019-02-27,2176.0,J
49,2019-02-28,2176.0,J
50,2019-03-01,2176.0,J
51,2019-03-04,2176.0,J
52,2019-03-05,2201.0,J
53,2019-03-06,2201.0,J
54,2019-03-07,2201.0,J
55,2019-03-08,2201.0,J
56,2019-03-11,2201.0,J
57,2019-03-12,2201.0,J
58,2019-03-13,2201.0,J
59,2019-03-14,2201.0,J
60,2019-03-15,2201.0,J
61,2019-03-19,2101.0,J
62,2019-03-20,2101.0,J
63,2019-03-21,2051.0,J
64,2019-03-22,2001.0,J
65,2019-03-27,1951.0,J
66,2019-03-28,1951.0,J
67,2019-03-29,1951.0,J
68,2019-04-01,1951.0,J
69,2019-04-03,1951.0,J
70,2019-04-09,1951.0,J
71,2019-04-10,1951.0,J
72,2019-04-15,1951.0,J
73,2019-04-16,1951.0,J
74,2019-04-17,1951.0,J
75,2019-04-18,1951.0,J
76,2019-04-19,1951.0,J
77,2019-04-23,1951.0,J
78,2019-04-24,1951.0,J
79,2019-04-25,2001.0,J
80,2019-04-26,2001.0,J
81,2019-04-29,2001.0,J
82,2019-04-30,2001.0,J
83,2019-05-06,2051.0,J
84,2019-05-07,2051.0,J
85,2019-05-09,2101.0,J
86,2019-05-13,2101.0,J
87,2019-05-14,2151.0,J
88,2019-05-15,2151.0,J
89,2019-05-16,2151.0,J
90,2019-05-17,2151.0,J
91,2019-05-20,2151.0,J
92,2019-05-21,2201.0,J
93,2019-05-22,2201.0,J
94,2019-05-23,2201.0,J
95,2019-05-24,2201.0,J
96,2019-05-28,2201.0,J
97,2019-05-29,2251.0,J
98,2019-05-31,2251.0,J
99,2019-06-03,2251.0,J
100,2019-06-04,2251.0,J
101,2019-06-10,2201.0,J
102,2019-06-11,2201.0,J
103,2019-06-12,2201.0,J
104,2019-06-13,2201.0,J
105,2019-06-14,2201.0,J
106,2019-06-17,2201.0,J
107,2019-06-18,2101.0,J
108,2019-06-19,2101.0,J
109,2019-06-20,2101.0,J
110,2019-06-21,2101.0,J
111,2019-06-24,2101.0,J
112,2019-06-25,2101.0,J
113,2019-06-26,2101.0,J
114,2019-06-27,2101.0,J
115,2019-06-28,2101.0,J
116,2019-07-01,2101.0,J
117,2019-07-02,2101.0,J
118,2019-07-03,2101.0,J
119,2019-07-04,2051.0,J
120,2019-07-05,2051.0,J
121,2019-07-08,2001.0,J
122,2019-07-09,2001.0,J
123,2019-07-10,2001.0,J
124,2019-07-11,2001.0,J
125,2019-07-12,2001.0,J
126,2019-07-15,2001.0,J
127,2019-07-16,2001.0,J
128,2019-07-17,2051.0,J
129,2019-07-18,2051.0,J
130,2019-07-19,2051.0,J
131,2019-07-22,2101.0,J
132,2019-07-23,2101.0,J
133,2019-07-24,2101.0,J
134,2019-07-25,2101.0,J
135,2019-07-26,2101.0,J
136,2019-07-29,2101.0,J
137,2019-07-30,2101.0,J
138,2019-07-31,2101.0,J
139,2019-08-01,2101.0,J
140,2019-08-02,2101.0,J
141,2019-08-05,2101.0,J
142,2019-08-06,2101.0,J
143,2019-08-07,2101.0,J
144,2019-08-08,2101.0,J
145,2019-08-09,2101.0,J
146,2019-08-12,2101.0,J
147,2019-08-13,2101.0,J
148,2019-08-14,2101.0,J
149,2019-08-15,2201.0,J
150,2019-08-16,2201.0,J
151,2019-08-19,2201.0,J
152,2019-08-20,2201.0,J
153,2019-08-21,2201.0,J
154,2019-08-22,2201.0,J
155,2019-08-23,2201.0,J
156,2019-08-26,2101.0,J
157,2019-08-27,2101.0,J
158,2019-08-28,2101.0,J
159,2019-08-29,2101.0,J
160,2019-08-30,2101.0,J
161,2019-09-02,2001.0,J
162,2019-09-03,2001.0,J
163,2019-09-04,2001.0,J
164,2019-09-05,2001.0,J
165,2019-09-06,2001.0,J
166,2019-09-09,2001.0,J
167,2019-09-10,2001.0,J
168,2019-09-11,2001.0,J
169,2019-09-12,2001.0,J
170,2019-09-16,2001.0,J
171,2019-09-17,2001.0,J
172,2019-09-18,2001.0,J
173,2019-09-19,2001.0,J
174,2019-09-20,2001.0,J
175,2019-09-23,2001.0,J
176,2019-09-24,2001.0,J
177,2019-09-25,2001.0,J
178,2019-09-26,2001.0,J
179,2019-09-27,2001.0,J
180,2019-09-30,2001.0,J
181,2019-10-08,2001.0,J
182,2019-10-09,2001.0,J
183,2019-10-10,2001.0,J
184,2019-10-11,2001.0,J
185,2019-10-14,2001.0,J
186,2019-10-15,2001.0,J
187,2019-10-16,2001.0,J
188,2019-10-17,2001.0,J
189,2019-10-18,1951.0,J
190,2019-10-21,1951.0,J
191,2019-10-22,1951.0,J
192,2019-10-23,1951.0,J
193,2019-10-24,1951.0,J
194,2019-10-25,1951.0,J
195,2019-10-28,1951.0,J
196,2019-10-29,1951.0,J
197,2019-10-30,1951.0,J
198,2019-10-31,1951.0,J
199,2019-11-01,1951.0,J
200,2019-11-04,1901.0,J
201,2019-11-05,1901.0,J
202,2019-11-06,1901.0,J
203,2019-11-07,1901.0,J
204,2019-11-11,1901.0,J
205,2019-11-12,1901.0,J
206,2019-11-13,1901.0,J
207,2019-11-14,1901.0,J
208,2019-11-15,1901.0,J
209,2019-11-18,1901.0,J
210,2019-11-19,1901.0,J
211,2019-11-21,1901.0,J
212,2019-11-22,1901.0,J
213,2019-11-25,1901.0,J
214,2019-11-26,1901.0,J
