,date,cashPrice,code
0,2022-03-07,8300,SM
1,2022-03-08,8350,SM
2,2022-03-09,8320,SM
3,2022-03-10,8400,SM
4,2022-03-11,8500,SM
5,2022-03-14,8480,SM
6,2022-03-15,8450,SM
7,2022-03-16,8500,SM
8,2022-03-17,8480,SM
9,2022-03-18,8450,SM
10,2022-03-21,8450,SM
11,2022-03-22,8450,SM
12,2022-03-23,8450,SM
13,2022-03-24,8450,SM
14,2022-03-25,8500,SM
15,2022-03-28,8500,SM
16,2022-03-29,8480,SM
17,2022-03-30,8500,SM
18,2022-03-31,8500,SM
19,2022-04-01,8500,SM
20,2022-04-06,8530,SM
21,2022-04-07,8500,SM
22,2022-04-08,8550,SM
23,2022-04-11,8520,SM
24,2022-04-12,8520,SM
25,2022-04-13,8500,SM
26,2022-04-14,8510,SM
27,2022-04-15,8550,SM
28,2022-04-18,8600,SM
29,2022-04-19,8600,SM
30,2022-04-20,8600,SM
31,2022-04-21,8600,SM
32,2022-04-22,8600,SM
33,2022-04-25,8550,SM
34,2022-04-26,8550,SM
35,2022-04-27,8520,SM
36,2022-04-28,8520,SM
37,2022-04-29,8520,SM
38,2022-05-05,8550,SM
39,2022-05-06,8500,SM
40,2022-05-09,8480,SM
41,2022-05-10,8400,SM
42,2022-05-11,8450,SM
43,2022-05-12,8400,SM
44,2022-05-13,8420,SM
45,2022-05-16,8450,SM
46,2022-05-17,8480,SM
47,2022-05-18,8400,SM
48,2022-05-19,8400,SM
49,2022-05-20,8400,SM
50,2022-05-23,8430,SM
51,2022-05-24,8430,SM
52,2022-05-25,8400,SM
53,2022-05-26,8380,SM
54,2022-05-27,8380,SM
55,2022-05-30,8380,SM
56,2022-05-31,8480,SM
57,2022-06-01,8480,SM
58,2022-06-02,8500,SM
59,2022-06-06,8500,SM
60,2022-06-07,8500,SM
61,2022-06-08,8520,SM
62,2022-06-09,8520,SM
63,2022-06-10,8520,SM
64,2022-06-13,8400,SM
65,2022-06-14,8350,SM
66,2022-06-15,8300,SM
67,2022-06-16,8200,SM
68,2022-06-17,8150,SM
69,2022-06-20,8100,SM
70,2022-06-21,8100,SM
71,2022-06-22,8100,SM
72,2022-06-23,8120,SM
73,2022-06-24,8120,SM
74,2022-06-27,8150,SM
75,2022-06-28,8170,SM
76,2022-06-29,8170,SM
77,2022-06-30,8150,SM
78,2022-07-01,8130,SM
79,2022-07-04,8100,SM
80,2022-07-05,8100,SM
81,2022-07-06,8120,SM
82,2022-07-07,8050,SM
83,2022-07-08,8050,SM
84,2022-07-11,7980,SM
85,2022-07-12,7980,SM
86,2022-07-13,7900,SM
87,2022-07-14,7800,SM
88,2022-07-15,7700,SM
89,2022-07-18,7720,SM
90,2022-07-19,7680,SM
91,2022-07-20,7580,SM
92,2022-07-21,7520,SM
93,2022-07-22,7450,SM
94,2022-07-25,7400,SM
95,2022-07-26,7400,SM
96,2022-07-28,7430,SM
97,2022-07-29,7450,SM
