,date,code,basisRatio
714,2023-02-01,A,-0.03490566037735849
2836,2023-02-01,AG,-0.011016621569385389
2243,2023-02-01,AL,-0.00870253164556962
816,2023-02-01,B,0.12145593869731801
3040,2023-02-01,BU,0.017
1835,2023-02-01,C,0.013194444444444444
1529,2023-02-01,CF,0.03762251027505533
2039,2023-02-01,CJ,-0.047142857142857146
1937,2023-02-01,CS,-0.006229508196721312
2141,2023-02-01,CU,0.0033781355566736147
2938,2023-02-01,EG,-0.037567504108945764
3331,2023-02-01,FG,-0.039440203562340966
4001,2023-02-01,FU,-0.054177794734834035
408,2023-02-01,HC,0.018072289156626505
204,2023-02-01,I,0.07469827117538333
102,2023-02-01,J,0.019565990750622556
1631,2023-02-01,JD,0.008988764044943821
0,2023-02-01,JM,0.13105129608438235
3433,2023-02-01,L,0.0010715561376354328
1733,2023-02-01,LH,-0.26560283687943265
4373,2023-02-01,LU,0.07519640852974187
917,2023-02-01,M,0.17333333333333334
3535,2023-02-01,MA,0.024731182795698924
2498,2023-02-01,NI,0.07227508650519031
1325,2023-02-01,OI,0.08730734360834089
1121,2023-02-01,P,-0.01500646830530401
2441,2023-02-01,PB,-0.010596026490066225
4202,2023-02-01,PF,0.013329848405645583
4395,2023-02-01,PG,0.15332640332640332
3637,2023-02-01,PP,-0.019580770679051087
306,2023-02-01,RB,0.029832935560859187
1223,2023-02-01,RM,0.06598240469208211
3899,2023-02-01,RU,-0.02818003913894325
3229,2023-02-01,SA,0.08133333333333333
612,2023-02-01,SF,-0.030379746835443037
510,2023-02-01,SM,0.013333333333333334
2598,2023-02-01,SN,0.0021141649048625794
3127,2023-02-01,SP,0.09232876712328768
1427,2023-02-01,SR,-0.008855585831062671
2686,2023-02-01,SS,0.050277777777777775
4271,2023-02-01,TA,-0.009762900976290097
3809,2023-02-01,UR,0.10541516245487365
4100,2023-02-01,V,0.00047221784983472373
1019,2023-02-01,Y,0.09449636552440291
2345,2023-02-01,ZN,0.005332239540607055
715,2023-02-02,A,-0.04509433962264151
2837,2023-02-02,AG,-0.00510879848628193
2244,2023-02-02,AL,-0.0015781167806417674
817,2023-02-02,B,0.13237547892720306
1836,2023-02-02,C,0.022758620689655173
1530,2023-02-02,CF,0.04782882315921964
2040,2023-02-02,CJ,-0.03190476190476191
1938,2023-02-02,CS,-0.004918032786885246
2142,2023-02-02,CU,0.005212858384013901
2939,2023-02-02,EG,-0.030080530554239697
3332,2023-02-02,FG,-0.02099236641221374
4002,2023-02-02,FU,-0.04910179640718563
409,2023-02-02,HC,0.024154589371980676
205,2023-02-02,I,0.08149632598530399
103,2023-02-02,J,0.019565990750622556
1632,2023-02-02,JD,0.011910112359550562
1,2023-02-02,JM,0.13105129608438235
3434,2023-02-02,L,0.008716417910447761
1734,2023-02-02,LH,-0.2733812949640288
918,2023-02-02,M,0.17327586206896553
3536,2023-02-02,MA,0.0273224043715847
2499,2023-02-02,NI,0.09518810148731409
1326,2023-02-02,OI,0.10173992673992674
1122,2023-02-02,P,-0.016116248348745046
4203,2023-02-02,PF,0.03423941453214846
3638,2023-02-02,PP,0.0018672973982322917
307,2023-02-02,RB,0.03914081145584725
1224,2023-02-02,RM,0.0624633431085044
3900,2023-02-02,RU,-0.02707070707070707
3230,2023-02-02,SA,0.083
613,2023-02-02,SF,-0.02140127388535032
511,2023-02-02,SM,0.005369127516778523
3128,2023-02-02,SP,0.09020689655172413
1428,2023-02-02,SR,-0.0028941096356826694
2687,2023-02-02,SS,0.08670360110803324
4272,2023-02-02,TA,0.004957507082152974
3810,2023-02-02,UR,0.10938628158844765
4101,2023-02-02,V,0.003991697269679068
1020,2023-02-02,Y,0.1017989417989418
2346,2023-02-02,ZN,0.011801242236024845
716,2023-02-03,A,-0.0369811320754717
2838,2023-02-03,AG,-0.008517228029423151
2245,2023-02-03,AL,-0.008209745762711865
818,2023-02-03,B,0.12950191570881225
1837,2023-02-03,C,0.022068965517241378
1531,2023-02-03,CF,0.050166803046516016
2041,2023-02-03,CJ,-0.035238095238095235
1939,2023-02-03,CS,-0.0009836065573770492
2143,2023-02-03,CU,-0.0027794031597425397
2940,2023-02-03,EG,-0.036875303250849104
3333,2023-02-03,FG,-0.04521963824289406
4003,2023-02-03,FU,-0.07530864197530865
410,2023-02-03,HC,0.01476997578692494
206,2023-02-03,I,0.08075695896138187
104,2023-02-03,J,0.019565990750622556
1633,2023-02-03,JD,0.011235955056179775
2,2023-02-03,JM,0.09970645305736608
3435,2023-02-03,L,0.005063291139240506
1735,2023-02-03,LH,-0.268978102189781
919,2023-02-03,M,0.16939655172413792
3537,2023-02-03,MA,0.017375231053604435
2500,2023-02-03,NI,0.07833698030634573
1327,2023-02-03,OI,0.08351648351648351
1123,2023-02-03,P,-0.03038309114927345
2442,2023-02-03,PB,-0.013201320132013201
4204,2023-02-03,PF,0.033716675378985886
4396,2023-02-03,PG,0.18648180242634316
3639,2023-02-03,PP,0.005880880880880881
308,2023-02-03,RB,0.02397094430992736
1225,2023-02-03,RM,0.048214285714285716
3901,2023-02-03,RU,-0.03721881390593047
3231,2023-02-03,SA,0.07266666666666667
614,2023-02-03,SF,-0.02140127388535032
512,2023-02-03,SM,0.005929919137466307
3129,2023-02-03,SP,0.08110344827586206
1429,2023-02-03,SR,-0.011406196799455226
2688,2023-02-03,SS,0.07368421052631578
4273,2023-02-03,TA,-0.00931899641577061
3811,2023-02-03,UR,0.12302158273381295
4102,2023-02-03,V,-0.0056351634197391726
1021,2023-02-03,Y,0.0946031746031746
2347,2023-02-03,ZN,0.004575707154742097
717,2023-02-06,A,-0.03943396226415094
2839,2023-02-06,AG,-0.01104417670682731
2246,2023-02-06,AL,-0.013866666666666666
819,2023-02-06,B,0.12662835249042145
3041,2023-02-06,BU,0.05604938271604938
1838,2023-02-06,C,0.025
1532,2023-02-06,CF,0.055990405251862135
2042,2023-02-06,CJ,-0.03571428571428571
1940,2023-02-06,CS,0.007213114754098361
2144,2023-02-06,CU,0.00014688601645123384
2941,2023-02-06,EG,-0.038190221357333985
3334,2023-02-06,FG,-0.040803108808290155
4004,2023-02-06,FU,-0.06628003314001657
411,2023-02-06,HC,0.012106537530266344
207,2023-02-06,I,0.07855649686434149
105,2023-02-06,J,0.027570259694059053
1634,2023-02-06,JD,-0.022325581395348838
3,2023-02-06,JM,0.1042522647393693
3436,2023-02-06,L,0.006316045184015547
1736,2023-02-06,LH,-0.23286713286713287
920,2023-02-06,M,0.16587982832618026
3538,2023-02-06,MA,0.025321100917431193
2501,2023-02-06,NI,0.0731148292459317
1328,2023-02-06,OI,0.08186813186813187
1124,2023-02-06,P,-0.02454308093994778
4205,2023-02-06,PF,0.03459119496855346
4397,2023-02-06,PG,0.17373772791023842
3640,2023-02-06,PP,0.010760760760760761
309,2023-02-06,RB,0.027294685990338165
1226,2023-02-06,RM,0.054385964912280704
3902,2023-02-06,RU,-0.034215885947046845
3232,2023-02-06,SA,0.073
615,2023-02-06,SF,-0.021146496815286624
513,2023-02-06,SM,0.0037837837837837837
2599,2023-02-06,SN,-0.00096
3130,2023-02-06,SP,0.0846896551724138
1430,2023-02-06,SR,-0.0081799591002045
2689,2023-02-06,SS,0.07353760445682452
4274,2023-02-06,TA,-0.008599068434252956
3812,2023-02-06,UR,0.12086330935251799
4103,2023-02-06,V,-0.007084205441957816
1022,2023-02-06,Y,0.09142857142857143
2348,2023-02-06,ZN,0.004066780821917808
718,2023-02-07,A,-0.038490566037735846
2840,2023-02-07,AG,-0.010068465565847765
2247,2023-02-07,AL,-0.0028947368421052633
820,2023-02-07,B,0.1310344827586207
1839,2023-02-07,C,0.022916666666666665
1533,2023-02-07,CF,0.056103108415466264
2043,2023-02-07,CJ,-0.0380952380952381
1941,2023-02-07,CS,0.005573770491803279
