,date,code,basisRatio
0,2023-04-03,HC,0.023474178403755867
59,2023-04-03,RB,0.03675417661097852
1,2023-04-04,HC,0.026777251184834122
60,2023-04-04,RB,0.03099273607748184
2,2023-04-06,HC,0.029523809523809525
61,2023-04-06,RB,0.03202933985330073
3,2023-04-07,HC,0.029176470588235293
62,2023-04-07,RB,0.030750605326876512
4,2023-04-10,HC,0.029832935560859187
63,2023-04-10,RB,0.03194103194103194
5,2023-04-11,HC,0.02684085510688836
64,2023-04-11,RB,0.019950738916256157
6,2023-04-12,HC,0.03007159904534606
65,2023-04-12,RB,0.02857142857142857
7,2023-04-13,HC,0.03708133971291866
66,2023-04-13,RB,0.03052109181141439
8,2023-04-14,HC,0.035476190476190474
67,2023-04-14,RB,0.03472906403940887
9,2023-04-17,HC,0.029523809523809525
68,2023-04-17,RB,0.027407407407407408
10,2023-04-18,HC,0.026540284360189573
69,2023-04-18,RB,0.02235872235872236
11,2023-04-19,HC,0.0334916864608076
70,2023-04-19,RB,0.024691358024691357
12,2023-04-20,HC,0.027884615384615386
71,2023-04-20,RB,0.0236318407960199
13,2023-04-21,HC,0.028992628992628992
72,2023-04-21,RB,0.034760705289672546
14,2023-04-24,HC,0.033668341708542715
73,2023-04-24,RB,0.02578125
15,2023-04-25,HC,0.037531486146095715
74,2023-04-25,RB,0.03185378590078329
16,2023-04-26,HC,0.0364321608040201
75,2023-04-26,RB,0.03229166666666667
17,2023-04-27,HC,0.04271356783919598
76,2023-04-27,RB,0.042077922077922075
18,2023-04-28,HC,0.04924623115577889
77,2023-04-28,RB,0.04856396866840731
19,2023-05-04,HC,0.043701799485861184
78,2023-05-04,RB,0.0389920424403183
20,2023-05-05,HC,0.03168831168831169
79,2023-05-05,RB,0.015945945945945946
21,2023-05-08,HC,0.022418136020151132
80,2023-05-08,RB,0.014473684210526316
22,2023-05-09,HC,0.02430379746835443
81,2023-05-09,RB,0.025
23,2023-05-10,HC,0.030456852791878174
82,2023-05-10,RB,0.01936339522546419
24,2023-05-11,HC,0.03626943005181347
83,2023-05-11,RB,0.025945945945945945
25,2023-05-12,HC,0.03307291666666667
84,2023-05-12,RB,0.02608695652173913
26,2023-05-15,HC,0.025384615384615384
85,2023-05-15,RB,0.013136729222520108
27,2023-05-16,HC,0.031794871794871796
86,2023-05-16,RB,0.01752021563342318
28,2023-05-17,HC,0.023155216284987276
87,2023-05-17,RB,0.0032085561497326204
29,2023-05-18,HC,0.016666666666666666
88,2023-05-18,RB,0.014627659574468085
30,2023-05-19,HC,0.02622107969151671
89,2023-05-19,RB,0.01801075268817204
31,2023-05-22,HC,0.031331592689295036
90,2023-05-22,RB,0.022404371584699455
32,2023-05-23,HC,0.0265625
91,2023-05-23,RB,0.018579234972677595
33,2023-05-24,HC,0.03660477453580902
92,2023-05-24,RB,0.022752808988764046
34,2023-05-25,HC,0.0328
93,2023-05-25,RB,0.018518518518518517
35,2023-05-26,HC,0.020105820105820106
94,2023-05-26,RB,0.01544943820224719
36,2023-05-29,HC,0.005291005291005291
95,2023-05-29,RB,0.0050561797752808986
37,2023-05-30,HC,0.013866666666666666
96,2023-05-30,RB,0.013559322033898305
38,2023-05-31,HC,0.014171122994652407
97,2023-05-31,RB,0.007692307692307693
39,2023-06-01,HC,0.005277044854881266
98,2023-06-01,RB,0.0
40,2023-06-02,HC,-0.006036745406824147
99,2023-06-02,RB,-0.0005524861878453039
41,2023-06-05,HC,0.002325581395348837
100,2023-06-05,RB,0.005978260869565218
42,2023-06-06,HC,0.00233160621761658
101,2023-06-06,RB,0.012162162162162163
43,2023-06-07,HC,-0.0031496062992125984
102,2023-06-07,RB,0.009782608695652175
44,2023-06-08,HC,-0.009162303664921465
103,2023-06-08,RB,0.003243243243243243
45,2023-06-09,HC,-0.011855670103092783
104,2023-06-09,RB,-0.0021447721179624667
46,2023-06-12,HC,-0.011518324607329843
105,2023-06-12,RB,0.005945945945945946
47,2023-06-13,HC,-0.011568123393316195
106,2023-06-13,RB,-0.007466666666666667
48,2023-06-14,HC,-0.005384615384615384
107,2023-06-14,RB,-0.003183023872679045
49,2023-06-15,HC,-0.007435897435897436
108,2023-06-15,RB,-0.008753315649867375
50,2023-06-16,HC,-0.008905852417302799
109,2023-06-16,RB,-0.006544502617801047
51,2023-06-19,HC,-0.006666666666666667
110,2023-06-19,RB,-0.0002631578947368421
52,2023-06-20,HC,-0.005154639175257732
111,2023-06-20,RB,0.0036939313984168864
53,2023-06-21,HC,0.0007751937984496124
112,2023-06-21,RB,0.012137203166226913
54,2023-06-26,HC,-0.0007853403141361257
113,2023-06-26,RB,-0.015447154471544716
55,2023-06-27,HC,-0.002577319587628866
114,2023-06-27,RB,-0.0029333333333333334
56,2023-06-28,HC,-0.0036175710594315244
115,2023-06-28,RB,0.0007978723404255319
57,2023-06-29,HC,-0.005440414507772021
116,2023-06-29,RB,0.005319148936170213
58,2023-06-30,HC,-0.008268733850129198
117,2023-06-30,RB,0.016180371352785147
