,date,code,basisRatio
0,2023-04-03,A,-0.0007547169811320754
59,2023-04-03,B,0.12604166666666666
649,2023-04-03,C,0.006934306569343066
472,2023-04-03,CF,0.06043991906533516
767,2023-04-03,CJ,-0.15588235294117647
708,2023-04-03,CS,0.03442622950819672
531,2023-04-03,JD,0.09282608695652174
590,2023-04-03,LH,-0.13561643835616438
118,2023-04-03,M,0.08126582278481012
354,2023-04-03,OI,0.07497326203208556
236,2023-04-03,P,0.058385093167701865
295,2023-04-03,RM,0.0560655737704918
413,2023-04-03,SR,-0.027373417721518987
177,2023-04-03,Y,0.09713024282560706
1,2023-04-04,A,0.010754716981132076
60,2023-04-04,B,0.1225
650,2023-04-04,C,0.006569343065693431
473,2023-04-04,CF,0.0584818223353567
768,2023-04-04,CJ,-0.15294117647058825
709,2023-04-04,CS,0.028852459016393443
532,2023-04-04,JD,0.10086956521739131
591,2023-04-04,LH,-0.14075342465753424
119,2023-04-04,M,0.07848101265822785
355,2023-04-04,OI,0.05548317046688382
237,2023-04-04,P,0.053035935563816604
296,2023-04-04,RM,0.06181229773462783
414,2023-04-04,SR,-0.019340519974635383
178,2023-04-04,Y,0.09153292750415053
2,2023-04-06,A,0.021132075471698115
61,2023-04-06,B,0.134375
651,2023-04-06,C,0.010583941605839416
474,2023-04-06,CF,0.05120678408349641
769,2023-04-06,CJ,-0.15470588235294117
710,2023-04-06,CS,0.032131147540983604
533,2023-04-06,JD,0.07213483146067416
592,2023-04-06,LH,-0.15486111111111112
120,2023-04-06,M,0.10525
356,2023-04-06,OI,0.06432432432432432
238,2023-04-06,P,0.06567534076827757
297,2023-04-06,RM,0.06579804560260587
415,2023-04-06,SR,-0.033796588755527476
179,2023-04-06,Y,0.10651933701657458
3,2023-04-07,A,0.03018867924528302
62,2023-04-07,B,0.14375
652,2023-04-07,C,0.004379562043795621
475,2023-04-07,CF,0.04183448096661037
770,2023-04-07,CJ,-0.1711764705882353
711,2023-04-07,CS,0.023934426229508195
534,2023-04-07,JD,0.07258426966292135
593,2023-04-07,LH,-0.1486111111111111
121,2023-04-07,M,0.10329113924050633
357,2023-04-07,OI,0.056147986942328615
239,2023-04-07,P,0.06483103879849812
298,2023-04-07,RM,0.06059602649006623
416,2023-04-07,SR,-0.048205928237129485
180,2023-04-07,Y,0.09720670391061452
4,2023-04-10,A,0.029811320754716982
63,2023-04-10,B,0.15104166666666666
653,2023-04-10,C,-0.008394160583941606
476,2023-04-10,CF,0.04982506155241674
771,2023-04-10,CJ,-0.16823529411764707
712,2023-04-10,CS,0.0036065573770491803
535,2023-04-10,JD,0.11268817204301075
594,2023-04-10,LH,-0.13986013986013987
122,2023-04-10,M,0.09435897435897436
358,2023-04-10,OI,0.05506607929515418
240,2023-04-10,P,0.05663265306122449
299,2023-04-10,RM,0.05533333333333333
417,2023-04-10,SR,-0.030087949390526152
181,2023-04-10,Y,0.09523809523809523
5,2023-04-11,A,0.03257142857142857
64,2023-04-11,B,0.14288702928870292
654,2023-04-11,C,-0.010218978102189781
477,2023-04-11,CF,0.04780462457781242
772,2023-04-11,CJ,-0.1476470588235294
713,2023-04-11,CS,-0.0003278688524590164
536,2023-04-11,JD,0.11053763440860215
595,2023-04-11,LH,-0.13496503496503495
123,2023-04-11,M,0.10505050505050505
359,2023-04-11,OI,0.05387978142076503
241,2023-04-11,P,0.050062893081761005
300,2023-04-11,RM,0.048666666666666664
418,2023-04-11,SR,-0.03750578793023615
182,2023-04-11,Y,0.0854875283446712
6,2023-04-12,A,0.030476190476190476
65,2023-04-12,B,0.15209205020920502
655,2023-04-12,C,-0.0025454545454545456
478,2023-04-12,CF,0.0502502762790093
773,2023-04-12,CJ,-0.14058823529411765
714,2023-04-12,CS,0.0019672131147540984
537,2023-04-12,JD,0.11526881720430107
596,2023-04-12,LH,-0.13006993006993006
124,2023-04-12,M,0.12325
360,2023-04-12,OI,0.06601092896174864
242,2023-04-12,P,0.08049382716049383
301,2023-04-12,RM,0.06864686468646865
419,2023-04-12,SR,-0.0430622009569378
183,2023-04-12,Y,0.09445073612684032
7,2023-04-13,A,0.030666666666666665
66,2023-04-13,B,0.14602510460251045
656,2023-04-13,C,0.006521739130434782
479,2023-04-13,CF,0.04147435480725476
774,2023-04-13,CJ,-0.1476470588235294
715,2023-04-13,CS,0.02012987012987013
538,2023-04-13,JD,0.11440860215053764
597,2023-04-13,LH,-0.10704225352112676
125,2023-04-13,M,0.12413793103448276
361,2023-04-13,OI,0.05711111111111111
243,2023-04-13,P,0.07189873417721519
302,2023-04-13,RM,0.0560655737704918
420,2023-04-13,SR,-0.03349282296650718
184,2023-04-13,Y,0.09636363636363636
8,2023-04-14,A,0.03428571428571429
67,2023-04-14,B,0.1592050209205021
657,2023-04-14,C,0.005054151624548736
480,2023-04-14,CF,0.04973126983099139
775,2023-04-14,CJ,-0.15588235294117647
716,2023-04-14,CS,0.01525974025974026
539,2023-04-14,JD,0.10709677419354839
598,2023-04-14,LH,-0.11418439716312057
126,2023-04-14,M,0.1974770642201835
362,2023-04-14,OI,0.05918141592920354
244,2023-04-14,P,0.07309644670050762
303,2023-04-14,RM,0.07394136807817589
